doi,titulo,ano,autores,periodico,citacoes,subjects
10.47191/jefms/v4-i7-08,Financial Control Practices and Accountability in the Public Sector in Nigeria,2021.0,; Samuel Adebayo,"Journal of Economics, Finance And Management Studies",0,
10.4337/9781788971225.00010,New Public Management,2020.0,,Public Governance Paradigms,0,
10.4337/9781788971225.00013,Public Value Management,2020.0,,Public Governance Paradigms,0,
10.53581/jopv.2024.8.1.101,AI and Human Insecurity: Strengthening Global Governance and Educational Reform,2024.0,; Park; Yoo,Korea Association for Public Value,0,
10.3920/978-90-8686-930-5_2,"Chapter 2: The role of big data, AI and blockchain technology in digital public governance",2022.0,Tan,The new digital era governance,0,
10.1007/978-3-031-72237-0_9,Kitsch in Decision-making: Leadership in Public Administration,2024.0,Čajková; Igliar,Non-Artistic Kitsch,0,
10.4324/9781003396468-8,"Motivation, Decision-Making, and Organizational Culture",2023.0,Cropf; Wagner,American Public Administration,0,
10.4324/9780429053153-4,Women’s Empowerment for Decision-Making Duties in Public Administration,2019.0,Kutlu Gürsel,Women’s Economic Empowerment in Turkey,0,
10.1007/978-3-319-20928-9_2375,Ethical Decision-Making: An Applied Structure Addressing Ethical Challenges,2018.0,Freel,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_2375,Ethical Decision-Making: An Applied Structure Addressing Ethical Challenges,2022.0,Freel,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.32840/pdu.2022.2.27,DETERMINANTS OF THE INSTITUTIONAL DECISION-MAKING SYSTEM IN THE FIELD OF COUNTING THE COVID-19 PANDEMIC IN UKRAINE,2022.0,Vivsiannyk,Law and public administration,0,
10.32782/1813-3401.2023.1.16,FEATURES OF ADMINISTRATIVE DECISION-MAKING IN THE FIELD OF NATIONAL SECURITY,2023.0,Nikolaiev; Chub,State and regions. Series: Public Administration,0,
10.32840/1813-3401.2022.2.13,PUBLIC PARTICIPATION AS A DETERMINING FACTOR IN THE STRATEGIC DIRECTION OF THE MANAGEMENT DECISION-MAKING PROCESS,2022.0,Sahachko; Bogomolova,States and Regions. Series: Public Administration,0,
10.36253/979-12-215-0106-3.51,An Open Data platform for decision making in local public administration,2023.0,Sindoni; Massenzio,Proceedings e report,0,
10.31235/osf.io/5djfu,Assessment of Accountability Practices in the Public Sector of Malaysia,,Said; Alam; Johari,,0,
10.1515/9789888876044-008,3. Accountability and Organisational Change,2022.0,,"The Public Sector in Hong Kong, Second Edition",0,
10.1515/9781553395430-005,Framework Concepts: Accountability &amp; Risk,2019.0,,Canadian Public-Sector Financial Management,0,
10.46330/jkps.2023.12.23.4.255,On Accountability : Its Diverse Dimensions and Cultivating Comprehensive Accountability in the Public Sector,2023.0,Hwang,The Journal of Korean Policy Studies,0,
10.4324/9781315172255-1,Introduction to local government accountability,2019.0,Roxan,"Local Democracy, Journalism and Public Relations",0,
10.4324/9781003198116-16,Accountability and Ethics,2021.0,Rosenbloom; Kravchuk; Clerkin,Public Administration,0,
10.15680/ijctece.2024.0705011,"Algorithmic Accountability in AI Driven Public Systems: Fairness in Allocation, Workforce and Safety",2024.0,Agumalu,International Journal of Computer Technology and Electronics Communication,0,
10.2139/ssrn.4244499,Public Accountability and Policy Outcomes in Nigeria's Public Sector: A Stewardship Theory-Based Approach,,Oghuvbu; Gberevbie; Oni,SSRN Electronic Journal,0,
10.47672/ajacc.2281,The Notion of Accountability in the Public Sector,2024.0,Takabvirakare,American Journal of Accounting,0,
10.4337/9781800370470.00018,Fiscal Accountability Sector,2021.0,,Fiscal Accountability and Population Aging,0,
10.4324/9780429054907-4,The public sector code of ethics,2019.0,Mhando,Corporate Governance in Tanzania,0,
10.32424/1.saap.2023.2.2.11279,"FACTORS AFFECTING THE ACCOUNTABILITY OF VILLAGE FUND MANAGEMENT IN BANYUASIN DISTRICT, SOUTH SUMATRA",2023.0,,"Soedirman Accounting, Auditing and Public Sector Journal",0,
10.1081/e-epap3-120043412,Decision Making: Cost--Benefit Analysis,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.4324/9781315093215-7,"Decision Making, Institutions, Elite Control, and Responsiveness in Public Administration History",2018.0,Justice; Miller,Handbook of Public Administration,0,
10.1081/e-epap3-120010680,Decision Making: Incrementalism and Transformational Change,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.32782/pma2663-5240-2023.38.24,LEADERSHIP AS A FACTOR IN THE EFFECTIVENESS OF PUBLIC ADMINISTRATION DECISION-MAKING,2023.0,Surzhyk,Public management and administration in Ukraine,0,
10.30525/978-9934-588-46-4.06,THE EXPERIENCE OF TRAINING EXPERTS IN PUBLIC ADMINISTRATION AND DECISION-MAKING FIELDS,2020.0,Kostiuk,"PUBLIC AND MUNICIPAL ADMINISTRATION: THEORY, METHODOLOGY, PRACTICE",0,
10.32782/2310-9653-2022-3.9,The vectors of improving the decision-making procedure of public-private partnership implementation under conditions of war,2022.0,Shavlak,Public administration and customs administration,0,
10.1081/e-epap3-120010679,Decision Making: Open System and Non-Equilibrium,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1007/978-3-030-66252-3_2327,Budgeting and Decision-Making,2022.0,Yamamoto,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1081/e-epap3-120052313,Budgetary Decision Making: Logics in Theory and Practice,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1007/978-3-030-66252-3_2553,Organizational Decision-Making,2022.0,Nutt,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-319-20928-9_2553,Organizational Decision-Making,2018.0,Nutt,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.4324/9781003282839-18,Public governance for public value,2023.0,Loeffler,Public Management and Governance,0,
10.4324/9781003282839-33,Public management and governance: The future?,2023.0,Bovaird; Loeffler,Public Management and Governance,0,
10.4324/9781003282839-7,Behavioural approaches to public management and governance,2023.0,Kalucza; Fischer,Public Management and Governance,0,
10.4324/9781003282839-6,Public management and governance trends in non-OECD countries,2023.0,Larbi,Public Management and Governance,0,
10.1007/979-8-8688-0983-5_1,The Current State of AI Governance and Model Risk Management,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.1007/979-8-8688-0983-5_2,Aligning AI Strategy and AI Governance,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.1007/979-8-8688-0983-5_3,How to Sound like an AI Governance and Model Risk Management Guru,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.4324/9781003458081-27,Mastering AI governance in the public sector,2024.0,Misuraca; Rossel; Sibal,The Routledge International Handbook of Public Administration and Digital Governance,0,
10.1007/979-8-8688-0983-5_6,Designing Your AI Governance Framework,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.1007/979-8-8688-0983-5_23,Navigating the AI Frontier with This Sales Bible: Sales and Marketing Strategies for AI Governance and Risk Management Solutions,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.32782/pdu.2021.3.16,PUBLIC CONSULTATIONS AS A MECHANISM FOR BUSINESS INVOLVEMENT IN STATE DECISION-MAKING,2021.0,Selyutin; Stakh,Law and public administration,0,
10.4324/9781351003940-17,Leadership and Decision-Making,2019.0,Cox,Public Administration in Theory and Practice,0,
10.71435/685956,AI-Based Public Service Transformation: an Analysis OF Algorithmic Bias Risks AND Digital Government Accountability in ASEAN,2024.0,Idil; Alimuddin,Asian Digital Governance Problems,0,
10.20944/preprints202212.0585.v1,Role of Accounting on Public Sector Accountability in Nigeria,,Kamaldeen; Olamide Tijani; Elizabeth Temitayo; Malik Semasa; Olofinsao,,0,
10.2139/ssrn.4148214,Algorithmic Fairness and Service Failures: Why Firms Should Want Algorithmic Accountability,,Ukanwa; Rand; Zubcsek,SSRN Electronic Journal,0,
10.4337/9781788972826.00023,Explainability and transparency of machine learning in ADM systems,2021.0,Waltl,Research Handbook on Big Data Law,0,
10.4018/978-1-6684-9716-6.ch008,"Development, Monitoring, and Management Approaches of Machine Learning Implementations for the Effective Delivery of Government Services",2023.0,Durugkar,"Advances in Electronic Government, Digital Divide, and Regional Development",0,
10.1007/978-3-031-55645-6_4,Proactive Transparency,2024.0,Demšar,Library of Public Policy and Public Administration,0,
10.1007/978-3-031-55645-6_5,Transparency Challenges for Business and Privacy,2024.0,Demšar,Library of Public Policy and Public Administration,0,
10.1007/978-3-031-55645-6_3,What About Transparency in Other Areas of the Public Sector?,2024.0,Demšar,Library of Public Policy and Public Administration,0,
10.1081/e-epap3-120051228,Transparency,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120010719,Fiscal Transparency,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.71465/csb38,EXPLAINABLE AI: ENHANCING TRANSPARENCY AND TRUST IN MACHINE LEARNING MODELS,2019.0,Dr. Ali Zafar,Computer Science Bulletin,0,
10.1081/e-epap3-120053738,Decision Making: Uncertainty,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.4324/9780429507878-9,Public Decision-Making,2019.0,Holzer; Schwester,Public Administration,0,
10.4324/9781003403555-9,Public Decision-Making,2024.0,Holzer; Schwester,Public Administration,0,
10.20378/irb-59335,Public policy and decision-making as an approach to analyze public administration,,Derlien,,0,
10.20378/irb-59342,Public policy and decision-making as an approach to analyze public administration,,Derlien,,0,
10.1081/e-epap3-120010886,Decision Making: Rational,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120010758,Healthcare Decision Making,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120053763,Decision-Making Models,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120010800,Decision Making: Economic Models,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120010685,Decision Making: Naturalistic Approaches,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120010687,Decision Making: Dealing with Uncertainty,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1081/e-epap3-120048404,Decision Making: Cuban Missile Crisis,2020.0,,"Encyclopedia of Public Administration and Public Policy, Third Edition",0,
10.1007/978-3-319-20928-9_2256,Transparency,2018.0,Ingrams,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1515/9783111250182-011,Chapter 10 Transparency,2024.0,,From Trustworthy AI Principles to Public Procurement Practices,0,
10.1007/978-3-319-31816-5_3594-1,NATO’s Transparency/Secrecy Policies,2018.0,Sokolova,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_3594,NATO’s Transparency/Secrecy Policies,2022.0,Sokolova,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_2270,Fiscal and Financial Transparency,2022.0,Seiwald,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-319-20928-9_2270,Fiscal and Financial Transparency,2018.0,Seiwald,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.2139/ssrn.5044278,Reconciling Trade Secrets and AI Public Transparency,2024.0,Keller; Aplin,SSRN Electronic Journal,0,
10.1093/oso/9780197628164.003.0005,Societal-Level Implications of Pay Transparency,2023.0,Bamberger,Exposing Pay,0,
10.1007/978-3-319-20928-9_3049,Transparency Measures in an International Context,2018.0,Heemsbergen,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_3118,Gaps and Transparency Challenges in Contract Outsourcing,2022.0,Vyas,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1088/2631-8695/ad979f/v2/review1,"Review for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1088/2631-8695/ad979f/v1/review2,"Review for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1088/2631-8695/ad979f/v3/review1,"Review for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1201/9781003337218-12,Cloud Computing in the Public Sector: A Study,2022.0,Verma; Anukampa,Applications of Machine Learning in Big-Data Analytics and Cloud Computing,0,
10.1016/c2020-0-01618-x,"Interpretable Machine Learning for the Analysis, Design, Assessment, and Informed Decision Making for Civil Infrastructure",2024.0,,,0,
10.1088/2631-8695/ad979f/v2/decision1,"Decision letter for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1088/2631-8695/ad979f/v4/decision1,"Decision letter for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1088/2631-8695/ad979f/v3/decision1,"Decision letter for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1088/2631-8695/ad979f/v1/decision1,"Decision letter for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.34218/ijaiml_02_01_022,AI AND THE FUTURE OF PUBLIC SECTOR ERP: INTELLIGENT AUTOMATION BEYOND DATA ANALYTICS,2023.0,Gosangi,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE &amp; MACHINE LEARNING,0,
10.1504/ijpspm.2024.10068680,Measuring engagement in Moroccan public establishments: empirical analysis on Facebook using machine learning K-means clustering,2024.0,Ben Amar; Chekkour,International Journal of Public Sector Performance Management,0,
10.2139/ssrn.3727295,Exclusivity and Paternalism in the Public Governance of Explainable AI,,Keller; Drake,SSRN Electronic Journal,0,
10.1007/978-3-030-66252-3_3049,Transparency Measures in an International Context,2022.0,Heemsbergen,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-319-20928-9_3118,Gaps and Transparency Challenges in Contract Outsourcing,2018.0,Vyas,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1093/oso/9780197628164.003.0003,"Pay Transparency and Employee Perceptions, Attitudes, and Behavior",2023.0,Bamberger,Exposing Pay,0,
10.1093/oso/9780197628164.003.0004,The Impact of Pay Transparency on the Firm,2023.0,Bamberger,Exposing Pay,0,
10.46692/9781447325376.017,Social audit and public reporting,2022.0,,Transparency and the Open Society,0,
10.4324/9781003165422-8,Working for Transparency,2021.0,Burch,Hidden Markets,0,
10.34135/sjpppa.210803,TRANSPARENCY AND CORRUPTION AT THE LEVEL OF LOCAL GOVERNMENT,2021.0,Řádek; Bušša,Slovak Journal of Public Policy and Public Administration,0,
10.4337/9781803922171.00009,Power in AI and public policy,2024.0,Ulbricht,Handbook on Public Policy and Artificial Intelligence,0,
10.62311/nesx/rrpsx1d24,Government AI for Services: Indian State Algorithmic Accountability vs G20 And BRICS,2024.0,Pasupuleti,,0,
10.63282/3050-9416.ijaibdcms-v2i1p106,Explainable Machine Learning for Loan Default Prediction: Enhancing Transparency in Banking,2021.0,Taneja,"International Journal of AI, BigData, Computational and Management Studies",0,
10.46692/9781447325376.022,Transparency 2.0,2022.0,,Transparency and the Open Society,0,
10.18502/kss.v7i9.10965,Challenges in Using Automated Decision-Making in Public Administration in Indonesia,2022.0,Puspitasari; Wiryantiningsih,KnE Social Sciences,0,
10.36609/bjpa.v29i2.212,"Actors’ interaction, process management and complex decision-making in public-private partnership",2021.0,Sayadat,Bangladesh Journal of Public Administration,0,
10.1007/978-3-319-20928-9_2407,"Leadership, Ethics, and Decision-Making",2018.0,Scholl; Mederer; Scholl,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.61205/s160565900029696-9,Ensuring Data Quality in Automated Decision-Making in Public Administration,2024.0,Nazarov,Journal of Russian Law,0,
10.4018/978-1-7998-6807-1.ch008,The Use of Faith in Legislative Decision-Making,2022.0,,Advances in Public Policy and Administration,0,
10.32662/gjpads.v1i2.393,GENDER STRENGTHENING IN BUREAUCRATIC DECISION MAKING CITY OF GORONTALO,2018.0,Walahe,Gorontalo Journal of Public Administration Studies,0,
10.1007/978-3-319-31816-5_3993-1,Obstacles to Collaborative Decision-Making Among Counterterrorism Organizations,2020.0,Odhiambo; Ochara; Kadyamatimba,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1088/2631-8695/ad979f/v2/review2,"Review for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.1088/2631-8695/ad979f/v1/review1,"Review for ""Comparing advanced and traditional machine learning algorithms for construction duration prediction: a case study of Addis Ababa’s public sector""",2024.0,,,0,
10.63282/3050-9262.ijaidsml-v4i1p106,Explainable AI in Healthcare: Ensuring Trust and Transparency in ML Clinical Decision Systems,2023.0,,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",0,
10.1093/oso/9780197628164.003.0008,Policy Implications and Research Challenges,2023.0,Bamberger,Exposing Pay,0,
10.1007/978-3-319-31816-5_3957-1,Digital Transparency and Open Data,2020.0,Moreno; Verma; Simon,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_3957,Digital Transparency and Open Data,2022.0,Moreno; Verma; Simon,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1787/0d0f2c90-en,Towards good practice principles for government transparency in the use of recovery funds,2022.0,,OECD Public Governance Policy Papers,0,
10.33063/dl.vi.432,AI and Patients’ Rights: Transparency and Information Flows as Situated Principles in Public Health Care,2023.0,Högberg; Larsson,De Lege,0,
10.7176/ppar/9-5-08,Transparency for Enhancing Distinct Dimensions with Social Media Mediation on Citizens Trust in Ghana,2019.0,,Public Policy and Administration Research,0,
10.31219/osf.io/dhqkj,AI and Governance: Ensuring Transparency and Accountability in Development Policies,,rosalik,,0,
10.21275/sr23724234329,Enhancing Transparency in AI: An Explainable Deep Learning Approach for Computer Vision Systems,2023.0,Konduri KVLN Raju,International Journal of Science and Research (IJSR),0,
