titulo,autores,ano,resumo,link
Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Functional Materials Discovery,Samuel Rothfarb; Megan C. Davis; Ivana Matanovic; Baikun Li; Edward F. Holby,2025,"Artificial intelligence is reshaping scientific exploration, but most methods automate procedural tasks without engaging in scientific reasoning, limiting autonomy in discovery. We introduce Materials Agents for Simulation and Theory in Electronic-structure Reasoning (MASTER), an active learning framework where large language models autonomously design, execute, and interpret atomistic simulations. In MASTER, a multimodal system translates natural language into density functional theory workflow",http://arxiv.org/abs/2512.13930v1
Multi-Agent Deep Reinforcement Learning for Cooperative and Competitive Autonomous Vehicles using AutoDRIVE Ecosystem,Tanmay Vilas Samak; Chinmay Vilas Samak; Venkat Krovi,2023,"This work presents a modular and parallelizable multi-agent deep reinforcement learning framework for imbibing cooperative as well as competitive behaviors within autonomous vehicles. We introduce AutoDRIVE Ecosystem as an enabler to develop physically accurate and graphically realistic digital twins of Nigel and F1TENTH, two scaled autonomous vehicle platforms with unique qualities and capabilities, and leverage this ecosystem to train and deploy multi-agent reinforcement learning policies. We ",http://arxiv.org/abs/2309.10007v2
"Think Smart, Act SMARL! Analyzing Probabilistic Logic Shields for Multi-Agent Reinforcement Learning",Satchit Chatterji; Erman Acar,2024,"Safe reinforcement learning (RL) is crucial for real-world applications, and multi-agent interactions introduce additional safety challenges. While Probabilistic Logic Shields (PLS) has been a powerful proposal to enforce safety in single-agent RL, their generalizability to multi-agent settings remains unexplored. In this paper, we address this gap by conducting extensive analyses of PLS within decentralized, multi-agent environments, and in doing so, propose $\textbf{Shielded Multi-Agent Reinfo",http://arxiv.org/abs/2411.04867v3
Token Coherence: Adapting MESI Cache Protocols to Minimize Synchronization Overhead in Multi-Agent LLM Systems,Vladyslav Parakhin,2026,"Multi-agent LLM orchestration incurs synchronization costs scaling as O(n x S x |D|) in agents, steps, and artifact size under naive broadcast -- a regime I term broadcast-induced triply-multiplicative overhead. I argue this pathology is a structural residue of full-state rebroadcast, not an inherent property of multi-agent coordination.   The central claim: synchronization cost explosion in LLM multi-agent systems maps with formal precision onto the cache coherence problem in shared-memory mult",http://arxiv.org/abs/2603.15183v1
AEMA: Verifiable Evaluation Framework for Trustworthy and Controlled Agentic LLM Systems,YenTing Lee; Keerthi Koneru; Zahra Moslemi; Sheethal Kumar; Ramesh Radhakrishnan,2026,"Evaluating large language model (LLM)-based multi-agent systems remains a critical challenge, as these systems must exhibit reliable coordination, transparent decision-making, and verifiable performance across evolving tasks. Existing evaluation approaches often limit themselves to single-response scoring or narrow benchmarks, which lack stability, extensibility, and automation when deployed in enterprise settings at multi-agent scale. We present AEMA (Adaptive Evaluation Multi-Agent), a process",http://arxiv.org/abs/2601.11903v1
Observation of large-scale multi-agent based simulations,Gildas Morvan; Alexandre Veremme; Daniel Dupont,2013,"The computational cost of large-scale multi-agent based simulations (MABS) can be extremely important, especially if simulations have to be monitored for validation purposes. In this paper, two methods, based on self-observation and statistical survey theory, are introduced in order to optimize the computation of observations in MABS. An empirical comparison of the computational cost of these methods is performed on a toy problem.",http://arxiv.org/abs/1311.0758v1
Fanar-Sadiq: A Multi-Agent Architecture for Grounded Islamic QA,Ummar Abbas; Mourad Ouzzani; Mohamed Y. Eltabakh; Omar Sinan; Gagan Bhatia,2026,"Large language models (LLMs) can answer religious knowledge queries fluently, yet they often hallucinate and misattribute sources, which is especially consequential in Islamic settings where users expect grounding in canonical texts (Qur'an and Hadith) and jurisprudential (fiqh) nuance. Retrieval-augmented generation (RAG) improves grounding, however, a single retrieve-then-generate pipeline is insufficient for diverse Islamic queries, including verbatim scripture, citation-grounded guidance, an",http://arxiv.org/abs/2603.08501v3
Train Unit Shunting and Servicing: a Real-Life Application of Multi-Agent Path Finding,Jesse Mulderij; Bob Huisman; Denise Tönissen; Koos van der Linden; Mathijs de Weerdt,2020,"In between transportation services, trains are parked and maintained at shunting yards. The conflict-free routing of trains to and on these yards and the scheduling of service and maintenance tasks is known as the train unit shunting and service problem. Efficient use of the capacity of these yards is becoming increasingly important, because of increasing numbers of trains without proportional extensions of the yards. Efficiently scheduling maintenance activities is extremely challenging: curren",http://arxiv.org/abs/2006.10422v1
Evaluation of a Conversation Management Toolkit for Multi Agent Programming,David Lillis; Rem W. Collier; Howell R. Jordan,2014,"The Agent Conversation Reasoning Engine (ACRE) is intended to aid agent developers to improve the management and reliability of agent communication. To evaluate its effectiveness, a problem scenario was created that could be used to compare code written with and without the use of ACRE by groups of test subjects.   This paper describes the requirements that the evaluation scenario was intended to meet and how these motivated the design of the problem. Two experiments were conducted with two sepa",http://arxiv.org/abs/1410.2632v1
Low Variance Trust Region Optimization with Independent Actors and Sequential Updates in Cooperative Multi-agent Reinforcement Learning,Bang Giang Le; Viet Cuong Ta,2026,"Cooperative multi-agent reinforcement learning assumes each agent shares the same reward function and can be trained effectively using the Trust Region framework of single-agent. Instead of relying on other agents' actions, the independent actors setting considers each agent to act based only on its local information, thus having more flexible applications. However, in the sequential update framework, it is required to re-estimate the joint advantage function after each individual agent's policy",http://arxiv.org/abs/2606.25526v1
S-Bus: Automatic Read-Set Reconstruction for Multi-Agent LLM State Coordination,Sajjad Khan,2026,"We address concurrency control for LLM agents sharing mutable state over HTTP, where agents cannot be modified to declare read sets. S-Bus is an HTTP middleware whose central mechanism, a server-side DeliveryLog, reconstructs each agent's read set at commit time from observed HTTP GET traffic. The consistency property it provides -- Observable-Read Isolation (ORI), a partial causal consistency over the HTTP-observable read projection -- prevents Structural Race Conditions in dedicated-shard topo",http://arxiv.org/abs/2605.17076v2
A mechanism for discovering semantic relationships among agent communication protocols,Idoia Berges; Jesús Bermúdez; Alfredo Goñi; Arantza Illarramendi,2024,"One relevant aspect in the development of the Semantic Web framework is the achievement of a real inter-agents communication capability at the semantic level. Agents should be able to communicate with each other freely using different communication protocols, constituted by communication acts. For that scenario, we introduce in this paper an efficient mechanism presenting the following main features: - It promotes the description of the communication acts of protocols as classes that belong to a",http://arxiv.org/abs/2401.16216v1
On Some Fundamental Problems for Multi-Agent Systems Over Multilayer Networks,Daniel J. Rosenkrantz; Madhav V. Marathe; Zirou Qiu; S. S. Ravi; Richard E. Stearns,2025,"Many researchers have considered multi-agent systems over single-layer networks as models for studying diffusion phenomena. Since real-world networks involve connections between agents with different semantics (e.g., family member, friend, colleague), the study of multi-agent systems over multilayer networks has assumed importance. Our focus is on one class of multi-agent system models over multilayer networks, namely multilayer synchronous dynamical systems (MSyDSs). We study several fundamenta",http://arxiv.org/abs/2503.12684v1
Cascade: Token-Sharded Private LLM Inference,Rahul Thomas; Louai Zahran; Erica Choi; Akilesh Potti; Micah Goldblum,2025,"As LLMs continue to increase in parameter size, the computational resources required to run them are available to fewer parties. Therefore, third-party inference services -- where LLMs are hosted by third parties with significant computational resources -- are becoming increasingly popular. However, third party inference raises critical concerns about user data privacy. To mitigate these risks, privacy researchers have developed provably secure schemes for third-party inference, such as Secure M",http://arxiv.org/abs/2507.05228v1
RETA-LLM: A Retrieval-Augmented Large Language Model Toolkit,Jiongnan Liu; Jiajie Jin; Zihan Wang; Jiehan Cheng; Zhicheng Dou,2023,"Although Large Language Models (LLMs) have demonstrated extraordinary capabilities in many domains, they still have a tendency to hallucinate and generate fictitious responses to user requests. This problem can be alleviated by augmenting LLMs with information retrieval (IR) systems (also known as retrieval-augmented LLMs). Applying this strategy, LLMs can generate more factual texts in response to user input according to the relevant content retrieved by IR systems from external corpora as refe",http://arxiv.org/abs/2306.05212v1
Inverse cascading for initial MHD turbulence spectra between Saffman and Batchelor,Axel Brandenburg; Ramkishor Sharma; Tanmay Vachaspati,2023,"In decaying magnetohydrodynamic (MHD) turbulence with a strong magnetic field, the spectral magnetic energy density is known to increase with time at small wavenumbers $k$, provided the spectrum at low $k$ is sufficiently steep. This process is called inverse cascading and occurs for an initial Batchelor spectrum, where the magnetic energy per linear wavenumber interval increases like $k^4$. For an initial Saffman spectrum that is proportional to $k^2$, however, inverse cascading has not been fo",http://arxiv.org/abs/2307.04602v3
Demystifying AI Platform Design for Distributed Inference of Next-Generation LLM models,Abhimanyu Bambhaniya; Ritik Raj; Geonhwa Jeong; Souvik Kundu; Sudarshan Srinivasan,2024,"Large language models (LLMs) have shown remarkable performance across a wide range of applications, often outperforming human experts. However, deploying these gigantic models efficiently for diverse inference use cases requires carefully designed hardware platforms with ample computing, memory, and network resources. With constant innovation in LLM serving optimizations and model architecture evolving at breakneck speed, the hardware requirements to meet Service Level Objectives (SLOs) remain a",http://arxiv.org/abs/2406.01698v3
FBI-LLM: Scaling Up Fully Binarized LLMs from Scratch via Autoregressive Distillation,Liqun Ma; Mingjie Sun; Zhiqiang Shen,2024,"This work presents a Fully BInarized Large Language Model (FBI-LLM), demonstrating for the first time how to train a large-scale binary language model from scratch (not the partial binary or ternary LLM like BitNet b1.58) to match the performance of its full-precision counterparts (e.g., FP16 or BF16) in transformer-based LLMs. It achieves this by employing an autoregressive distillation (AD) loss with maintaining equivalent model dimensions (130M, 1.3B, 7B) and training data volume as regular L",http://arxiv.org/abs/2407.07093v1
Rational Tuning of LLM Cascades via Probabilistic Modeling,Michael J. Zellinger; Matt Thomson,2025,"Understanding the reliability of large language models (LLMs) has recently garnered significant attention. Given LLMs' propensity to hallucinate, as well as their high sensitivity to prompt design, it is already challenging to predict the performance of an individual LLM. However, the problem becomes more complex for compound LLM systems such as cascades, where in addition to each model's standalone performance, we must understand how the error rates of different models interact. In this paper, ",http://arxiv.org/abs/2501.09345v4
A Tutorial for Evaluating Cure Model Appropriateness,A Tutorial for Evaluating Cure Model Appropriateness Geethanjalee Mudunkotuwa; Durbadal Ghosh; Subodh Selukar,2026,"In survival analysis, traditional models assume all individuals will eventually experience the event of interest. However, advances in therapeutics have led to multiple clinical contexts with potentially curative therapies, and in these contexts, certain individuals may never experience the event. Statisticians have developed cure models as a methodology to address this challenge. Nonetheless, despite significant statistical advances in cure models, we have seen more limited uptake in biomedical",http://arxiv.org/abs/2605.04999v2
Enhancing Jailbreak Attacks on LLMs via Persona Prompts,Zheng Zhang; Peilin Zhao; Deheng Ye; Hao Wang,2025,"Jailbreak attacks aim to exploit large language models (LLMs) by inducing them to generate harmful content, thereby revealing their vulnerabilities. Understanding and addressing these attacks is crucial for advancing the field of LLM safety. Previous jailbreak approaches have mainly focused on direct manipulations of harmful intent, with limited attention to the impact of persona prompts. In this study, we systematically explore the efficacy of persona prompts in compromising LLM defenses. We pr",http://arxiv.org/abs/2507.22171v3
Can LLMs Lie? Investigation beyond Hallucination,Haoran Huan; Mihir Prabhudesai; Mengning Wu; Shantanu Jaiswal; Deepak Pathak,2025,"Large language models (LLMs) have demonstrated impressive capabilities across a variety of tasks, but their increasing autonomy in real-world applications raises concerns about their trustworthiness. While hallucinations-unintentional falsehoods-have been widely studied, the phenomenon of lying, where an LLM knowingly generates falsehoods to achieve an ulterior objective, remains underexplored. In this work, we systematically investigate the lying behavior of LLMs, differentiating it from halluc",http://arxiv.org/abs/2509.03518v1
ARB-LLM: Alternating Refined Binarizations for Large Language Models,Zhiteng Li; Xianglong Yan; Tianao Zhang; Haotong Qin; Dong Xie,2024,"Large Language Models (LLMs) have greatly pushed forward advancements in natural language processing, yet their high memory and computational demands hinder practical deployment. Binarization, as an effective compression technique, can shrink model weights to just 1 bit, significantly reducing the high demands on computation and memory. However, current binarization methods struggle to narrow the distribution gap between binarized and full-precision weights, while also overlooking the column dev",http://arxiv.org/abs/2410.03129v3
Harnessing Multiple Large Language Models: A Survey on LLM Ensemble,Zhijun Chen; Xiaodong Lu; Jingzheng Li; Pengpeng Chen; Zhuoran Li,2025,"LLM Ensemble -- which involves the comprehensive use of multiple large language models (LLMs), each aimed at handling user queries during downstream inference, to benefit from their individual strengths -- has gained substantial attention recently. The widespread availability of LLMs, coupled with their varying strengths and out-of-the-box usability, has profoundly advanced the field of LLM Ensemble. This paper presents the first systematic review of recent developments in LLM Ensemble. First, w",http://arxiv.org/abs/2502.18036v6
Systematic Evaluation of LLM-as-a-Judge in LLM Alignment Tasks: Explainable Metrics and Diverse Prompt Templates,Hui Wei; Shenghua He; Tian Xia; Fei Liu; Andy Wong,2024,"LLM-as-a-Judge has been widely applied to evaluate and compare different LLM alignmnet approaches (e.g., RLHF and DPO). However, concerns regarding its reliability have emerged, due to LLM judges' biases and inconsistent decision-making. Previous research has developed evaluation frameworks to assess reliability of LLM judges and their alignment with human preferences. However, the employed evaluation metrics often lack adequate explainability and fail to address LLM internal inconsistency. Addi",http://arxiv.org/abs/2408.13006v2
LLM-42: Enabling Determinism in LLM Inference with Verified Speculation,Raja Gond; Aditya K Kamath; Ramachandran Ramjee; Ashish Panwar,2026,"In LLM inference, the same prompt may yield different outputs across different runs. At the system level, this non-determinism arises from floating-point non-associativity combined with dynamic batching and GPU kernels whose reduction orders vary with batch size. A straightforward way to eliminate non-determinism is to disable dynamic batching during inference, but doing so severely degrades throughput. Another approach is to make kernels batch-invariant; however, this tightly couples determinis",http://arxiv.org/abs/2601.17768v2
SVD-LLM: Truncation-aware Singular Value Decomposition for Large Language Model Compression,Xin Wang; Yu Zheng; Zhongwei Wan; Mi Zhang,2024,"The advancements in Large Language Models (LLMs) have been hindered by their substantial sizes, which necessitates LLM compression methods for practical deployment. Singular Value Decomposition (SVD) offers a promising solution for LLM compression. However, state-of-the-art SVD-based LLM compression methods have two key limitations: truncating smaller singular values may lead to higher compression loss, and the lack of update on the compressed weights after SVD truncation. In this work, we propo",http://arxiv.org/abs/2403.07378v5
A Survey of LLM $\times$ DATA,Xuanhe Zhou; Junxuan He; Wei Zhou; Haodong Chen; Zirui Tang,2025,"The integration of large language model (LLM) and data management (DATA) is rapidly redefining both domains. In this survey, we comprehensively review the bidirectional relationships. On the one hand, DATA4LLM, spanning large-scale data processing, storage, and serving, feeds LLMs with high quality, diversity, and timeliness of data required for stages like pre-training, post-training, retrieval-augmented generation, and agentic workflows: (i) Data processing for LLMs includes scalable acquisiti",http://arxiv.org/abs/2505.18458v3
When Efficiency Backfires: Cascading LLMs Trigger Cascade Failure under Adversarial Attack,Zehan Sun; Dingfan Chen; Songze Li,2026,"Large Language Model (LLM) cascade systems are designed to balance efficiency and performance by processing queries with lightweight models while selectively escalating complex cases to more powerful ones. Such systems seek to reduces computational cost and latency while maintaining task performance, making it an appealing choice for large-scale deployment. However, the cascade design introduces new vulnerabilities through an expanded attack surface: the inclusion of lightweight front-end models",http://arxiv.org/abs/2605.17288v1
"Any-Precision LLM: Low-Cost Deployment of Multiple, Different-Sized LLMs",Yeonhong Park; Jake Hyun; SangLyul Cho; Bonggeun Sim; Jae W. Lee,2024,"Recently, considerable efforts have been directed towards compressing Large Language Models (LLMs), which showcase groundbreaking capabilities across diverse applications but entail significant deployment costs due to their large sizes. Meanwhile, much less attention has been given to mitigating the costs associated with deploying multiple LLMs of varying sizes despite its practical significance. Thus, this paper introduces \emph{any-precision LLM}, extending the concept of any-precision DNN to ",http://arxiv.org/abs/2402.10517v4
FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,Weirui Kuang; Bingchen Qian; Zitao Li; Daoyuan Chen; Dawei Gao,2023,"LLMs have demonstrated great capabilities in various NLP tasks. Different entities can further improve the performance of those LLMs on their specific downstream tasks by fine-tuning LLMs. When several entities have similar interested tasks, but their data cannot be shared because of privacy concerns regulations, federated learning (FL) is a mainstream solution to leverage the data of different entities. However, fine-tuning LLMs in federated learning settings still lacks adequate support from e",http://arxiv.org/abs/2309.00363v1
CATP-LLM: Empowering Large Language Models for Cost-Aware Tool Planning,Duo Wu; Jinghe Wang; Yuan Meng; Yanning Zhang; Le Sun,2024,"Utilizing large language models (LLMs) for tool planning has emerged as a promising avenue for developing general AI systems, where LLMs automatically schedule external tools (e.g., vision models) to tackle complex tasks based on task descriptions. To push this paradigm toward practical applications, it is crucial for LLMs to consider tool execution costs (e.g., execution time) for tool planning. Unfortunately, prior studies overlook the tool execution costs, leading to the generation of expensi",http://arxiv.org/abs/2411.16313v3
LLM-Optic: Unveiling the Capabilities of Large Language Models for Universal Visual Grounding,Haoyu Zhao; Wenhang Ge; Ying-cong Chen,2024,"Visual grounding is an essential tool that links user-provided text queries with query-specific regions within an image. Despite advancements in visual grounding models, their ability to comprehend complex queries remains limited. To overcome this limitation, we introduce LLM-Optic, an innovative method that utilizes Large Language Models (LLMs) as an optical lens to enhance existing visual grounding models in comprehending complex text queries involving intricate text structures, multiple objec",http://arxiv.org/abs/2405.17104v2
Dynamic Model Routing and Cascading for Efficient LLM Inference: A Survey,Yasmin Moslem; John D. Kelleher,2026,"The rapid growth of large language models (LLMs) with diverse capabilities, costs, and domains has created a critical need for intelligent model selection at inference time. While smaller models suffice for routine queries, complex tasks demand more capable models. However, static model deployment does not account for the complexity and domain of incoming queries, leading to suboptimal performance and increased costs. Dynamic routing systems that adaptively select models based on query character",http://arxiv.org/abs/2603.04445v2
"Routing, Cascades, and User Choice for LLMs",Rafid Mahmood,2026,"To mitigate the trade-offs between performance and costs, LLM providers route user tasks to different models based on task difficulty and latency. We study the effect of LLM routing with respect to user behavior. We propose a game between an LLM provider with two models (standard and reasoning) and a user who can re-prompt or abandon tasks if the routed model cannot solve them. The user's goal is to maximize their utility minus the delay from using the model, while the provider minimizes the cos",http://arxiv.org/abs/2602.09902v1
SVD-LLM V2: Optimizing Singular Value Truncation for Large Language Model Compression,Xin Wang; Samiul Alam; Zhongwei Wan; Hui Shen; Mi Zhang,2025,"Despite significant advancements, the practical deployment of Large Language Models (LLMs) is often hampered by their immense sizes, highlighting the need for effective compression techniques. Singular Value Decomposition (SVD) is a promising LLM compression technique. However, existing SVD-based compression methods fall short in reducing truncation losses, leading to less competitive performance in compressed models. In this work, we introduce SVD-LLM V2, a SVD-based LLM compression method that",http://arxiv.org/abs/2503.12340v1
"Open-LLM-Leaderboard: From Multi-choice to Open-style Questions for LLMs Evaluation, Benchmark, and Arena",Aidar Myrzakhan; Sondos Mahmoud Bsharat; Zhiqiang Shen,2024,"Multiple-choice questions (MCQ) are frequently used to assess large language models (LLMs). Typically, an LLM is given a question and selects the answer deemed most probable after adjustments for factors like length. Unfortunately, LLMs may inherently favor certain answer choice IDs, such as A/B/C/D, due to inherent biases of priori unbalanced probabilities, influencing the prediction of answers based on these IDs. Previous research has introduced methods to reduce this ''selection bias'' by sim",http://arxiv.org/abs/2406.07545v1
Privacy-preserved LLM Cascade via CoT-enhanced Policy Learning,Kai Zhang; Congchao Wang; Liqian Peng; Alec Go; Xiaozhong Liu,2024,"Large Language Models (LLMs) have gained significant attention in on-device applications due to their remarkable performance across real-world tasks. However, on-device LLMs often suffer from suboptimal performance due to hardware limitations. A promising solution to this challenge is cascading a weaker local (on-device) LLM with a more powerful server LLM. While existing research on LLM cascade primarily optimizes the performance-cost trade-off, real-world applications impose additional require",http://arxiv.org/abs/2410.08014v2
Adaptation of Embedding Models to Financial Filings via LLM Distillation,Eliot Brenner; Dominic Seyler; Manjunath Hegde; Andrei Simion; Koustuv Dasgupta,2025,"Despite advances in generative large language models (LLMs), practical application of specialized conversational AI agents remains constrained by computation costs, latency requirements, and the need for precise domain-specific relevance measures. While existing embedding models address the first two constraints, they underperform on information retrieval in specialized domains like finance. This paper introduces a scalable pipeline that trains specialized models from an unlabeled corpus using a",http://arxiv.org/abs/2512.08088v1
LLM-grounded Video Diffusion Models,Long Lian; Baifeng Shi; Adam Yala; Trevor Darrell; Boyi Li,2023,"Text-conditioned diffusion models have emerged as a promising tool for neural video generation. However, current models still struggle with intricate spatiotemporal prompts and often generate restricted or incorrect motion. To address these limitations, we introduce LLM-grounded Video Diffusion (LVD). Instead of directly generating videos from the text inputs, LVD first leverages a large language model (LLM) to generate dynamic scene layouts based on the text inputs and subsequently uses the gen",http://arxiv.org/abs/2309.17444v3
A Survey on LLM-as-a-Judge,Jiawei Gu; Xuhui Jiang; Zhichao Shi; Hexiang Tan; Xuehao Zhai,2024,"Accurate and consistent evaluation is crucial for decision-making across numerous fields, yet it remains a challenging task due to inherent subjectivity, variability, and scale. Large Language Models (LLMs) have achieved remarkable success across diverse domains, leading to the emergence of ""LLM-as-a-Judge,"" where LLMs are employed as evaluators for complex tasks. With their ability to process diverse data types and provide scalable, cost-effective, and consistent assessments, LLMs present a com",http://arxiv.org/abs/2411.15594v6
IVOA Recommendation: Data Model for Astronomical DataSet Characterisation,Mireille Louys; Anita Richards; Francois Bonnarel; Alberto Micol; Igor Chilingarian,2011,"This document defines the high level metadata necessary to describe the physical parameter space of observed or simulated astronomical data sets, such as 2D-images, data cubes, X-ray event lists, IFU data, etc.. The Characterisation data model is an abstraction which can be used to derive a structured description of any relevant data and thus to facilitate its discovery and scientific interpretation. The model aims at facilitating the manipulation of heterogeneous data in any VO framework or por",http://arxiv.org/abs/1111.2281v1
RoleRAG: Enhancing LLM Role-Playing via Graph Guided Retrieval,Yongjie Wang; Jonathan Leung; Zhiqi Shen,2025,"Large Language Models (LLMs) have shown promise in character imitation, enabling immersive and engaging conversations. However, they often generate content that is irrelevant or inconsistent with a character's background. We attribute these failures to: (1) the inability to accurately recall character-specific knowledge due to entity ambiguity, and (2) a lack of awareness of the character's cognitive boundaries. To address these issues, we propose RoleRAG, a retrieval-based framework that integr",http://arxiv.org/abs/2505.18541v1
Strategist: Self-improvement of LLM Decision Making via Bi-Level Tree Search,Jonathan Light; Min Cai; Weiqin Chen; Guanzhi Wang; Xiusi Chen,2024,"Traditional reinforcement learning and planning typically requires vast amounts of data and training to develop effective policies. In contrast, large language models (LLMs) exhibit strong generalization and zero-shot capabilities, but struggle with tasks that require detailed planning and decision-making in complex action spaces. We introduce STRATEGIST, a novel approach that integrates the strengths of both methods. Our approach leverages LLMs to search and update high-level strategies (as tex",http://arxiv.org/abs/2408.10635v3
ELIS: Efficient LLM Iterative Scheduling System with Response Length Predictor,Seungbeom Choi; Jeonghoe Goo; Eunjoo Jeon; Mingyu Yang; Minsung Jang,2025,"We propose ELIS, a serving system for Large Language Models (LLMs) featuring an Iterative Shortest Remaining Time First (ISRTF) scheduler designed to efficiently manage inference tasks with the shortest remaining tokens. Current LLM serving systems often employ a first-come-first-served scheduling strategy, which can lead to the ""head-of-line blocking"" problem. To overcome this limitation, it is necessary to predict LLM inference times and apply a shortest job first scheduling strategy. However,",http://arxiv.org/abs/2505.09142v1
A Unified Approach to Routing and Cascading for LLMs,Jasper Dekoninck; Maximilian Baader; Martin Vechev,2024,"The availability of a wide range of large language models (LLMs) embedded in various agentic systems has significantly increased the potential of model selection strategies to improve the cost-performance tradeoff. Existing strategies involve either routing, where a single model is chosen per query, or cascading, which sequentially runs increasingly larger models until a satisfactory answer is found. However, current approaches face three key limitations: they (1) lack formal proofs of optimalit",http://arxiv.org/abs/2410.10347v3
Capability Instruction Tuning: A New Paradigm for Dynamic LLM Routing,Yi-Kai Zhang; De-Chuan Zhan; Han-Jia Ye,2025,"Large Language Models (LLMs) have demonstrated human-like instruction-following abilities, particularly those exceeding 100 billion parameters. The combined capability of some smaller, resource-friendly LLMs can address most of the instructions that larger LLMs excel at. In this work, we explore how to route the best-performing LLM for each instruction to achieve better overall performance. We develop a new paradigm, constructing capability instructions with model capability representation, user",http://arxiv.org/abs/2502.17282v1
LLM Modules: Knowledge Transfer from a Large to a Small Model using Enhanced Cross-Attention,Konstantin Kolomeitsev,2025,"In this work, we propose an architecture of LLM Modules that enables the transfer of knowledge from a large pre-trained model to a smaller model using an Enhanced Cross-Attention mechanism. In the proposed scheme, the Qwen2-1.5B model is frozen and its representations are passed through specially designed attention layers to the GPT-Neo-125M model, which is trained on limited computational resources. Experimental results on the Bespoke-Stratos-17k dataset demonstrate that after 15 epochs of trai",http://arxiv.org/abs/2502.08213v1
When Reasoning Beats Scale: A 1.5B Reasoning Model Outranks 13B LLMs as Discriminator,Md Fahim Anjum,2025,"Large Language Models (LLM) with reasoning capabilities offer a promising path for improving candidate evaluation in planning frameworks, but their relative performance against traditional non-reasoning models remains largely underexplored. In this study, we benchmark a distilled 1.5B parameter reasoning model (DeepSeek-R1) against several state-of-the-art non-reasoning LLMs within a generator-discriminator LLM planning framework for the text-to-SQL task. For this, we introduce a novel method fo",http://arxiv.org/abs/2505.03786v1
The LLM Bottleneck: Why Open-Source Vision LLMs Struggle with Hierarchical Visual Recognition,Yuwen Tan; Yuan Qing; Boqing Gong,2025,"This paper reveals that many open-source large language models (LLMs) lack hierarchical knowledge about our visual world, unaware of even well-established biology taxonomies. This shortcoming makes LLMs a bottleneck for vision LLMs' hierarchical visual recognition (e.g., recognizing Anemone Fish but not Vertebrate). We arrive at these findings using about one million four-choice visual question answering (VQA) tasks constructed from six taxonomies and four image datasets. Interestingly, finetuni",http://arxiv.org/abs/2505.24840v2
Nemotron-Cascade 2: Post-Training LLMs with Cascade RL and Multi-Domain On-Policy Distillation,Zhuolin Yang; Zihan Liu; Yang Chen; Wenliang Dai; Boxin Wang,2026,"We introduce Nemotron-Cascade 2, an open 30B MoE model with 3B activated parameters that delivers best-in-class reasoning and strong agentic capabilities. Despite its compact size, its mathematical and coding reasoning performance approaches that of frontier open models. It is the second open-weight LLM, after DeepSeekV3.2-Speciale-671B-A37B, to achieve Gold Medal-level performance in the 2025 International Mathematical Olympiad (IMO), the International Olympiad in Informatics (IOI), and the ICP",http://arxiv.org/abs/2603.19220v2
VerilogReader: LLM-Aided Hardware Test Generation,Ruiyang Ma; Yuxin Yang; Ziqian Liu; Jiaxi Zhang; Min Li,2024,"Test generation has been a critical and labor-intensive process in hardware design verification. Recently, the emergence of Large Language Model (LLM) with their advanced understanding and inference capabilities, has introduced a novel approach. In this work, we investigate the integration of LLM into the Coverage Directed Test Generation (CDG) process, where the LLM functions as a Verilog Reader. It accurately grasps the code logic, thereby generating stimuli that can reach unexplored code bran",http://arxiv.org/abs/2406.04373v1
Thetis coastal ocean model: discontinuous Galerkin discretization for the three-dimensional hydrostatic equations,Tuomas Kärnä; Stephan C. Kramer; Lawrence Mitchell; David A. Ham; Matthew D. Piggott,2017,"Unstructured grid ocean models are advantageous for simulating the coastal ocean and river-estuary-plume systems. However, unstructured grid models tend to be diffusive and/or computationally expensive which limits their applicability to real life problems. In this paper, we describe a novel discontinuous Galerkin (DG) finite element discretization for the hydrostatic equations. The formulation is fully conservative and second-order accurate in space and time. Monotonicity of the advection schem",http://arxiv.org/abs/1711.08552v2
"Doing What They Say, Not What They Reason: Locating the Faithfulness Gap in LLM Agents",Yufeng Wang,2026,"Do LLM agents act on the reasoning they state? This question of process fidelity is central to using LLMs in social simulation, yet it is hard to measure where no reference for correct behavior exists. We study it in acontrolled setting, a Texas Poker simulator with a verifiable reference action for every decision by decomposing the faithfulness gap into two steps: reasoning-conclusion and conclusion-action. The two steps behave oppositely.",http://arxiv.org/abs/2606.00476v1
ODA: Observation-Driven Agent for integrating LLMs and Knowledge Graphs,Lei Sun; Zhengwei Tao; Youdi Li; Hiroshi Arakawa,2024,"The integration of Large Language Models (LLMs) and knowledge graphs (KGs) has achieved remarkable success in various natural language processing tasks. However, existing methodologies that integrate LLMs and KGs often navigate the task-solving process solely based on the LLM's analysis of the question, overlooking the rich cognitive potential inherent in the vast knowledge encapsulated in KGs. To address this, we introduce Observation-Driven Agent (ODA), a novel AI agent framework tailored for ",http://arxiv.org/abs/2404.07677v2
Cost-Saving LLM Cascades with Early Abstention,Michael J. Zellinger; Rex Liu; Matt Thomson,2025,"LLM cascades deploy small LLMs to answer most queries, limiting the use of large and expensive LLMs to difficult queries. This approach can significantly reduce costs without impacting performance. However, risk-sensitive domains such as finance or medicine place an additional premium on avoiding model errors. Since even the most expensive models are susceptible to making mistakes, applications in these domains benefit from allowing LLM systems to completely abstain from answering difficult quer",http://arxiv.org/abs/2502.09054v2
